sp1	sp2	symp	area1	area2
128	1	0.4325582481074952	63	39
150	84	0.5810523486902277	95	75
11	172	0.7033697537505146	26	70
103	179	0.11219357500054972	39	33
150	176	0.8647921998849453	95	10
74	61	0.3251465584714277	68	23
8	151	0.9717153333602877	6	54
101	208	0.7655054678562828	11	24
110	143	0.9922938903947041	30	27
64	168	0.10965244249099615	49	30
179	191	0.406153560447715	33	32
111	42	0.06523657949793338	25	66
184	192	0.9901282184520128	97	26
175	145	0.6678307828393721	93	100
78	151	0.19291091125303583	34	54
14	135	0.5344060241447178	73	11
216	69	0.2856059474732763	85	55
75	32	0.4547268801460955	28	7
95	145	0.9019928335052637	37	100
78	151	0.46077256036283876	34	54
145	216	0.7154714145126223	100	85
139	8	0.2828918763021764	12	6
201	108	0.3910367205190769	45	95
26	110	0.2704982305967576	88	30
20	14	0.8458343834436267	34	73
94	66	0.6691915717096423	24	67
8	100	0.12068072538160735	6	27
122	147	0.7164238928851916	25	9
163	8	0.7629227860855419	21	6
190	10	0.1400198614469893	60	48
170	61	0.0986324144619064	19	23
42	104	0.782979063501963	66	44
192	182	0.9073757279946316	26	92
187	169	0.09290740463822589	10	68
155	102	0.4102941349788868	1	17
186	138	0.1947345351871238	49	12
123	74	0.7660344758917665	35	68
58	101	0.3787808928661378	52	11
155	117	0.9694823844069479	1	16
142	3	0.022232118454720506	93	5
34	161	0.5317786902786872	77	60
25	99	0.7652878204752998	88	28
28	53	0.15780560422676104	88	58
101	76	0.3052842465615674	11	45
102	180	0.03436863114272515	17	40
54	109	0.850644775232866	100	14
69	41	0.21671293453550378	55	20
90	21	0.9223133301795582	83	67
30	87	0.4369457025543365	36	7
210	83	0.7215395154788959	32	39
103	44	0.9118576275715189	39	46
125	184	0.2517961350485548	66	97
58	51	0.4271755759709017	52	13
75	128	0.9412642447486689	28	63
214	47	0.6147103411026716	24	16
99	87	0.2501140608174919	28	7
159	136	0.7895988432071256	85	42
114	116	0.09860789122776692	38	44
119	147	0.8448347925325783	92	9
192	127	0.6439634071084013	26	62
83	156	0.4441489795933019	39	35
38	13	0.3636831937795376	8	44
197	7	0.2658394594711937	53	69
180	179	0.3931092794732479	40	33
187	63	0.7471607819312267	10	31
95	215	0.3239833800853499	37	69
34	118	0.43159358401303327	77	53
158	210	0.7687942074871125	99	32
97	208	0.16356501765729747	11	24
107	93	0.9090847637193427	8	7
134	126	0.3682121709321122	22	28
190	124	0.8032845528585897	60	91
23	98	0.6856031599228328	42	95
132	48	0.6175208545371774	15	87
151	70	0.4012840460013274	54	48
76	1	0.3884017522511206	45	39
93	100	0.18624236428782448	7	27
35	7	0.11508691856429265	100	69
126	163	0.26071149766038226	28	21
147	209	0.7529503664788306	9	58
8	149	0.12719776868359	6	50
77	156	0.21545177734936016	35	35
62	186	0.4493256959678319	40	49
64	19	0.7153833022061615	49	71
87	158	0.000425330868319862	7	99
39	161	0.41173213965627453	82	60
41	148	0.2116317282851662	20	3
7	32	0.08340605724393269	69	7
184	70	0.5150331250995986	97	48
71	111	0.002419757475541129	45	25
201	209	0.13425440454502935	45	58
126	97	0.3600440352713372	28	11
203	68	0.2818918670247712	74	36
16	88	0.2290194446008217	34	6
153	104	0.09015310501335372	79	44
53	166	0.003304523854309682	58	68
100	129	0.5483168493938145	27	43
73	187	0.3071187279918878	61	10
134	80	0.4070783076311778	22	3
187	181	0.9004684153726505	10	19
52	62	0.38973592557239634	80	40
62	34	0.8004870498605574	40	77
154	51	0.7768553852602684	89	13
115	92	0.021182989585905587	33	4
207	84	0.18801962435229902	59	75
21	193	0.7366050351825448	67	67
126	138	0.6917576980250493	28	12
136	72	0.25773787647758717	42	45
33	162	0.020817327453963252	47	51
159	80	0.13608214160492837	85	3
155	153	0.04411378846948144	1	79
53	158	0.6456774757816552	58	99
207	92	0.06515734519645855	59	4
214	177	0.9898491117030337	24	88
5	61	0.05797111774017849	72	23
36	178	0.6090828651845984	100	54
8	61	0.7394128031588274	6	23
183	4	0.7851309264566624	22	1
86	83	0.038454354972457416	29	39
191	25	0.5687746997407965	32	88
127	91	0.27296479100174087	62	19
59	123	0.7439346827387548	9	35
207	168	0.7832724335283414	59	30
110	10	0.37226632438421237	30	48
189	150	0.1178888325334918	8	95
125	46	0.576951384147923	66	27
202	106	0.29949874828839174	96	45
87	33	0.543953752089806	7	47
106	194	0.7036882744136382	45	98
21	172	0.5835957790822345	67	70
178	66	0.4368014152547196	54	67
34	211	0.9280001004385627	77	96
141	117	0.6401478473566456	9	16
128	156	0.4546492652215234	63	35
28	112	0.14081771878565508	88	69
46	118	0.8385104235312568	27	53
