sp1	sp2	symp	area1	area2
65	32	0.7344475453630023	81	68
7	47	0.3516719270348856	9	81
143	98	0.08028918691544962	13	27
135	132	0.5281980346330392	97	87
66	32	0.05001302356575166	98	68
107	31	0.5221882874707138	59	79
2	14	0.08640389014739291	64	32
74	43	0.41141418281349806	13	85
142	6	0.07321136845943033	90	22
84	148	0.05658047882952777	58	50
42	36	0.9831349763434258	47	38
117	69	0.9692953267842349	60	75
116	145	0.7676372698756381	70	76
143	13	0.24208618931590187	13	77
99	46	0.7994970109266404	2	22
1	25	0.46629579525420284	52	5
57	119	0.414243552850573	21	87
110	76	0.19373545476774157	25	23
72	6	0.7766056067287664	86	22
74	121	0.36333762538047665	13	45
98	45	0.7621363368273585	27	5
123	24	0.5602663723289878	51	84
52	130	0.8017722529132649	13	12
147	115	0.6235284420643029	19	86
108	60	0.10697767965333882	11	23
58	44	0.0783376445478845	13	77
29	45	0.2735025123239776	60	5
39	146	0.21704652857149986	68	22
74	28	0.31888936106964616	13	54
51	106	0.1646775722090834	76	93
17	9	0.8216249258582388	33	4
89	133	0.5647405402392507	20	28
90	31	0.7741138509154581	38	79
138	124	0.3043325679692537	51	63
147	105	0.389997213953595	19	58
37	95	0.9820332130652031	8	73
33	22	0.09437787768882566	98	36
127	9	0.06444531311020418	92	4
105	80	0.47008469321688595	58	47
9	58	0.8103852733393281	4	13
51	12	0.6266999679973098	76	14
82	114	0.9860166931932518	10	59
27	93	0.2755091748840459	78	89
22	73	0.652064374632955	36	10
130	58	0.011333382562949135	12	13
144	52	0.8380530943888304	34	13
132	63	0.8969024835799251	87	46
104	152	0.9792896170802792	69	17
59	62	0.5700967407685043	32	35
19	101	0.4391505034344022	91	81
102	37	0.8734049468405903	17	8
100	12	0.5021819416284866	38	14
141	157	0.9928665702415931	21	17
146	28	0.28763208761638337	22	54
124	142	0.9151336480452322	63	90
135	141	0.25411547566873927	97	21
130	103	0.4051707616595812	12	58
64	59	0.4870760737197185	36	32
19	31	0.5222261714479602	91	79
88	31	0.3510361343173173	36	79
114	55	0.4511192820890664	59	8
113	67	0.24904529135969555	18	81
141	41	0.7212849002556287	21	36
