sp1	sp2	symp	area1	area2
25	133	0.3277441876029006	13	12
66	16	0.64606721601717	27	28
30	200	0.7148233627512874	49	63
199	51	0.7238118686207564	100	37
161	105	0.35025922998407744	29	60
144	88	0.06068154978771412	46	91
161	56	0.6976427858146318	29	1
88	24	0.9869667247454113	91	15
190	119	0.06571790830554047	1	76
186	61	0.20827825363867802	26	73
188	131	0.5386623599298503	11	68
69	198	0.7887279465448748	76	20
64	197	0.18293142883657498	49	81
130	19	0.06571769595392996	82	46
148	142	0.9244822900205951	78	46
54	26	0.8766442323680035	52	81
33	134	0.8589193314632945	30	30
59	60	0.4895540283289652	2	83
180	1	0.6661034351147317	22	82
147	18	0.9742511781938515	27	61
59	142	0.4959794979135861	2	46
205	184	0.6821660406589921	70	21
5	179	0.5332139256506204	4	76
187	179	0.5346193710659585	49	76
174	41	0.7395388471420877	27	30
40	187	0.40510087936303174	57	49
208	57	0.2314532493039918	71	1
8	55	0.06691150152037073	78	5
205	85	0.4848221981594133	70	12
18	193	0.39510480262458325	61	86
180	47	0.18477271518198424	22	52
110	16	0.24837732467058937	43	28
180	13	0.8597997661821465	22	76
146	56	0.35501090141833225	79	1
132	163	0.9432101468863054	18	76
189	170	0.052262635928448486	12	9
198	94	0.2057011739023118	20	38
127	71	0.43815499631231614	76	70
176	2	0.7788738190621315	3	60
97	117	0.977022441245381	22	31
209	93	0.4317547056973514	93	57
96	33	0.7146692977012451	23	30
158	102	0.7112859023168616	72	77
4	45	0.907020916449232	69	11
206	82	0.04045959139707345	35	54
209	134	0.008338376103406153	93	30
139	104	0.9413095534266133	54	99
13	206	0.009332236853231923	76	35
89	202	0.1288102868153288	91	96
2	62	0.19552154446308623	60	3
108	120	0.47348403355189694	22	16
91	160	0.2896890175625567	45	42
89	46	0.21755142179031373	91	90
209	141	0.5183000500970042	93	29
54	63	0.16682124404712573	52	10
184	50	0.5564072321656598	21	52
107	44	0.3444485725820351	21	54
22	188	0.9599037680213115	32	11
74	186	0.0974345250478722	68	26
4	85	0.24867632744765655	69	12
29	172	0.3806884886781903	34	93
16	139	0.7884619499580279	28	54
179	139	0.9550147270339149	76	54
13	91	0.8830858121846512	76	45
137	83	0.5031915868703253	34	2
161	211	0.18795422437755427	29	89
140	198	0.6136500362870217	5	20
159	172	0.8304816461795239	50	93
157	76	0.44044031375130244	15	70
19	60	0.7062821900811248	46	83
190	212	0.36792732825834384	1	3
56	13	0.5823888150485521	1	76
31	195	0.29673011261255866	21	50
133	191	0.9081767117520068	12	36
44	6	0.5161121734843922	54	42
28	105	0.805807583800827	83	60
136	154	0.17013395935943476	15	88
102	32	0.10372160065553004	77	35
209	71	0.6194566537395988	93	70
45	143	0.29424888266001425	11	38
30	62	0.6018936043259488	49	3
92	80	0.47983365023616387	24	60
166	182	0.9646398069070914	72	23
125	56	0.4182823330261368	99	1
157	95	0.8997464667495326	15	71
170	216	0.5079213728798094	9	41
197	25	0.7268100582720289	81	13
64	177	0.7110502095747391	49	65
72	130	0.9117629532708115	63	82
156	122	0.9799161168784501	51	78
125	159	0.04685455401686511	99	50
77	216	0.058652273401440636	94	41
79	165	0.43655557977176573	93	50
213	212	0.6914233551150516	90	3
93	147	0.24468430254957585	57	27
61	158	0.24548441937085064	73	72
38	22	0.015478271787899511	94	32
109	50	0.7003789428808092	68	52
88	142	0.0903817477850909	91	46
182	56	0.2860323858574957	23	1
87	204	0.8628560234734237	89	89
66	140	0.8312697892287589	27	5
143	62	0.21833463088256166	38	3
160	136	0.5408826451681258	42	15
116	6	0.033249103404149216	91	42
45	57	0.9599915487498559	11	1
168	18	0.8418523233759826	71	61
210	199	0.5201250628430371	57	100
175	141	0.43416993381492075	10	29
153	37	0.6438833767770886	28	77
175	205	0.1709825208883765	10	70
161	215	0.9000738641968702	29	71
169	195	0.20152740488930498	32	50
69	63	0.08658203969904343	76	10
136	57	0.37042967449314523	15	1
117	107	0.6444658844191339	31	21
69	6	0.9361918603845782	76	42
74	81	0.9462167326016756	68	15
106	26	0.2363013374927806	75	81
175	152	0.1727581880305168	10	85
14	114	0.561264099447729	84	89
103	141	0.7572614043645016	36	29
160	155	0.29932040619303923	42	22
161	97	0.05897694545944587	29	22
85	17	0.6260848839165079	12	34
216	104	0.9454805454698435	41	99
188	183	0.3995938376960888	11	18
184	33	0.1253711669831773	21	30
211	124	0.6154392002479198	89	65
72	97	0.40318921476401437	63	22
113	164	0.9474731345094193	95	56
186	95	0.1388934689119764	26	71
15	72	0.4499928380362205	46	63
6	42	0.9298116351181338	42	22
55	126	0.8073024267851567	5	27
131	72	0.214319476592148	68	63
148	214	0.8532229256090237	78	17
31	128	0.23880399521343387	21	80
198	186	0.52377960567533	20	26
198	145	0.4037636589297724	20	74
144	78	0.4008293288565954	46	4
195	65	0.49210113798219846	50	6
44	88	0.32246636354870317	54	91
122	178	0.11320747181496338	78	31
140	174	0.31065653303620233	5	27
94	161	0.904794948173039	38	29
125	28	0.8435200428875478	99	83
212	40	0.48471489675782675	3	57
183	139	0.5481667812392129	18	54
99	202	0.7001005519241755	34	96
17	174	0.10196278208518894	34	27
103	3	0.31670288754067033	36	17
133	153	0.7320393379202516	12	28
140	207	0.7204476430268278	5	17
116	171	0.5390839943260576	91	71
8	86	0.9087713463109613	78	98
82	95	0.2005690316029397	54	71
200	146	0.9592446370730356	63	79
46	197	0.5992711103804316	90	81
13	161	0.32507532303479414	76	29
107	97	0.9877033826157633	21	22
95	4	0.16264059160533195	71	69
139	88	0.1800218708446576	54	91
9	205	0.8596503625440071	12	70
11	19	0.8039598834813766	59	46
50	63	0.6121620705608047	52	10
171	189	0.2725498801733385	71	12
181	192	0.13757231978756979	86	84
83	80	0.17675379446719786	2	60
57	198	0.5436993185670639	1	20
168	205	0.9994722372614726	71	70
202	129	0.7416591049939654	96	1
149	36	0.49238188150096784	28	91
156	131	0.6251306871025337	51	68
204	115	0.5003805781289342	89	73
165	117	0.5006789253750288	50	31
105	11	0.5467729372958021	60	59
95	69	0.23111992700049744	71	76
132	11	0.3444061249519321	18	59
60	9	0.7097998406201341	83	12
68	175	0.6352527831195398	93	10
49	161	0.8016721275379188	22	29
161	68	0.6235946379960309	29	93
215	123	0.6361686851480769	71	64
151	159	0.059417985652544636	11	50
88	186	0.9755625586452855	91	26
165	14	0.25163067802714745	50	84
164	104	0.675270211012084	56	99
170	52	0.7006197956331509	9	88
77	13	0.9218393855033076	94	76
91	65	0.8918284609458079	45	6
200	177	0.9447069866958432	63	65
206	132	0.9768959292395911	35	18
177	158	0.7507858357916475	65	72
55	70	0.4863624878959648	5	3
159	74	0.33013082281614603	50	68
209	183	0.507015695681382	93	18
19	7	0.8059736132314429	46	12
34	37	0.09555574696406965	74	77
108	127	0.22684772421336497	22	76
207	214	0.2301853853961382	17	17
131	29	0.13937139022389566	68	34
214	114	0.3250370778344833	17	89
41	4	0.9701550220215323	30	69
14	9	0.2590559339979108	84	12
81	56	0.2760095801336071	15	1
17	193	0.9428733243836577	34	86
128	143	0.2798865811763106	80	38
160	91	0.5936350275780854	42	45
4	114	0.7499178180987247	69	89
48	76	0.11309349816317205	69	70
16	157	0.41944579602059084	28	15
54	136	0.5232761663655449	52	15
70	187	0.7116769049172309	3	49
8	91	0.29405722009736635	78	45
118	8	0.5683838533840335	55	78
61	155	0.18310021050437197	73	22
62	108	0.731567317012417	3	22
37	2	0.2903361453860458	77	60
95	57	0.2790766003787839	71	1
186	88	0.46171985056681086	26	91
126	178	0.9375115446679856	27	31
12	212	0.565074158951573	87	3
28	136	0.8992481914811895	83	15
50	106	0.7738011440155048	52	75
178	121	0.6195332675939377	31	68
103	115	0.14529264011761844	36	73
143	148	0.27862887585105744	38	78
165	104	0.18369641576311257	50	99
111	202	0.9850219229767542	13	96
92	103	0.46713248655922734	24	36
119	88	0.6148364151069095	76	91
122	104	0.6194682711480298	78	99
159	166	0.6307314734466863	50	72
215	118	0.1697067370883123	71	55
1	84	0.09437887733943806	82	18
176	63	0.4337505539829738	3	10
165	97	0.2508543752402397	50	22
136	68	0.8575680000738677	15	93
170	71	0.14367124185052738	9	70
151	98	0.45235797752974605	11	79
154	114	0.3029323282290455	88	89
6	36	0.017345170940905263	42	91
115	39	0.6003278936752751	73	12
121	61	0.24380306148990605	68	73
124	106	0.5402377360254869	65	75
133	130	0.99140004416044	12	82
149	89	0.9372900947565098	28	91
127	54	0.917086155130393	76	52
71	168	0.8070681843821321	70	71
43	7	0.9116795989495075	89	12
116	204	0.13149278308543055	91	89
105	30	0.41278682643410014	60	49
14	81	0.1746508150093301	84	15
51	34	0.9319609276799206	37	74
115	93	0.5514808979221902	73	57
76	26	0.5327974730846012	70	81
168	9	0.41015256490731167	71	12
87	62	0.5303271874101563	89	3
80	39	0.8309403809572512	60	12
200	79	0.0015617638209057816	63	93
169	158	0.46117861300209984	32	72
104	63	0.023239472516040416	99	10
31	50	0.1714783497161514	21	52
110	89	0.7730296325019488	43	91
129	122	0.2689090929636273	1	78
49	184	0.7210518584070267	22	21
39	41	0.2888899297684566	12	30
190	168	0.9937079871271712	1	71
173	61	0.7798972915344479	92	73
