sp1	sp2	symp	area1	area2
74	36	0.19578922348766015	68	92
81	58	0.6348700862358009	94	68
145	81	0.06623036955631212	87	94
128	122	0.1246398370425863	6	90
86	118	0.7243852441380108	97	29
133	17	0.7841224834356831	64	39
115	39	0.6761753675690442	52	50
148	55	0.998608577632162	10	71
142	38	0.9200946471334444	91	71
114	154	0.4586558704733501	65	62
96	18	0.7074832399567931	12	82
96	86	0.07091950742730813	12	97
146	11	0.8366038671748015	83	85
72	91	0.5248131204792923	63	7
19	9	0.9173876677858499	13	44
23	68	0.9668214235371592	75	79
21	152	0.41139359357682237	16	74
62	142	0.8394655941164322	61	91
61	124	0.7272867969880589	15	45
81	135	0.5202996747964357	94	100
44	25	0.4807912031037418	16	42
52	38	0.8637204046941256	45	71
12	134	0.9840060277957966	69	45
60	104	0.26135966835973035	55	1
99	62	0.3816258477571157	1	61
52	131	0.9715808176771518	45	44
10	57	0.4809678622570006	13	65
138	154	0.04696325305439597	22	62
118	125	0.954184237651198	29	87
20	27	0.32001016672432936	55	18
77	75	0.08834109180312855	96	58
107	31	0.1603028205966609	49	73
19	32	0.7672012315894445	13	22
43	57	0.7858990491512288	30	65
75	141	0.46197994608600945	58	66
126	103	0.21398700171610496	78	73
65	28	0.6848676791932592	6	5
135	72	0.9046751365512485	100	63
28	125	0.16395255315820456	5	87
67	96	0.7588991858529895	88	12
92	19	0.581283958565671	76	13
83	40	0.8459828674599765	46	97
146	19	0.663675538431952	83	13
50	82	0.3420891716254617	24	66
141	109	0.09913993929034892	66	11
101	78	0.41566775093437314	9	33
47	92	0.6261880332290145	98	76
62	67	0.06104387758917984	61	88
147	141	0.9537808973720142	21	66
37	117	0.8396925871267372	36	30
4	43	0.30663885375633315	14	30
77	99	0.6794537118694216	96	1
21	62	0.8626757413020893	16	61
33	61	0.6425258846516949	63	15
134	57	0.14683188612767795	45	65
111	50	0.4606169683787994	84	24
143	21	0.2469586240519518	84	16
155	34	0.6002587772369367	74	75
66	39	0.31253089832805625	58	50
26	139	0.28810551521766525	27	3
15	8	0.022733695270254595	39	86
62	71	0.9361700075730216	61	48
48	31	0.07364908694981431	94	73
118	67	0.3602291441105959	29	88
126	30	0.3168687355577007	78	46
141	1	0.7756131237282926	66	59
96	55	0.7370618326465643	12	71
147	26	0.007138916443674037	21	27
31	130	0.9201263791234761	73	83
46	133	0.8141439856535383	49	64
153	86	0.09147262004899426	98	97
32	68	0.2289792474589083	22	79
80	20	0.2106090530123197	12	55
149	137	0.4324163666732793	23	13
8	20	0.8319291549989605	86	55
62	27	0.06022591669475885	61	18
28	115	0.5729140616550283	5	52
102	62	0.13277592592111054	3	61
144	65	0.7926227509503249	3	6
27	140	0.030347576202186533	18	47
